property_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
253,Apartment,Entire home/apt,4,2,2,2,Real Bed
254,Apartment,Entire home/apt,4,1,1,2,Real Bed
255,Apartment,Private room,2,1,1,1,Real Bed
256,Apartment,Entire home/apt,4,1,1,2,Real Bed
257,Apartment,Entire home/apt,2,1,1,1,Real Bed
258,House,Entire home/apt,2,1,1,1,Real Bed
259,Apartment,Entire home/apt,5,2.5,2,2,Real Bed
260,Apartment,Private room,2,1,1,1,Real Bed
261,House,Entire home/apt,2,1,1,1,Real Bed
262,Apartment,Entire home/apt,2,1,1,2,Real Bed
263,House,Entire home/apt,6,2,3,3,Real Bed
264,House,Entire home/apt,6,3.5,4,4,Real Bed
265,Apartment,Private room,2,1,1,1,Real Bed
266,House,Entire home/apt,6,1.5,3,3,Real Bed
267,House,Entire home/apt,8,3,4,5,Real Bed
268,House,Entire home/apt,8,2,3,4,Real Bed
269,Bungalow,Entire home/apt,3,1,1,2,Real Bed
270,Apartment,Entire home/apt,4,1,2,3,Real Bed
271,Apartment,Entire home/apt,4,2,2,2,Real Bed
272,Apartment,Entire home/apt,3,1,1,1,Real Bed
273,Apartment,Entire home/apt,2,1,1,1,Real Bed
274,Apartment,Entire home/apt,3,1,1,1,Real Bed
275,Apartment,Entire home/apt,4,1,1,1,Real Bed
276,Apartment,Entire home/apt,4,1,1,2,Real Bed
277,Loft,Entire home/apt,4,1,1,2,Real Bed
278,Apartment,Entire home/apt,4,1,1,1,Real Bed
279,Apartment,Entire home/apt,4,1,1,2,Real Bed
280,Apartment,Entire home/apt,2,1,0,1,Real Bed
281,House,Entire home/apt,5,1.5,3,3,Real Bed
282,House,Entire home/apt,5,2,3,3,Real Bed
283,Apartment,Entire home/apt,6,1,2,3,Real Bed
284,Loft,Entire home/apt,2,1,0,1,Real Bed
285,Apartment,Entire home/apt,3,1,1,2,Real Bed
286,Apartment,Entire home/apt,2,1,1,1,Real Bed
287,House,Entire home/apt,6,2,3,2,Real Bed
288,House,Private room,2,2,1,1,Real Bed
289,House,Private room,2,1,1,1,Real Bed
290,House,Entire home/apt,2,1,1,1,Real Bed
291,Apartment,Entire home/apt,4,1,1,1,Real Bed
292,Apartment,Entire home/apt,2,1,1,1,Real Bed
293,House,Entire home/apt,8,2,4,4,Real Bed
294,House,Entire home/apt,6,1.5,2,3,Real Bed
295,House,Entire home/apt,4,1,0,2,Real Bed
296,Apartment,Entire home/apt,4,1,1,1,Real Bed
297,Apartment,Entire home/apt,2,1,1,2,Real Bed
298,House,Entire home/apt,4,2,2,2,Real Bed
299,House,Entire home/apt,4,1,0,2,Real Bed
300,House,Private room,2,1,1,1,Real Bed
301,Apartment,Entire home/apt,6,1,2,3,Real Bed
302,House,Entire home/apt,6,1,2,3,Real Bed
303,Apartment,Entire home/apt,2,1,0,1,Real Bed
304,House,Entire home/apt,4,1,2,2,Real Bed
305,Apartment,Entire home/apt,4,1,1,1,Real Bed
306,Apartment,Entire home/apt,3,1,1,2,Real Bed
307,House,Entire home/apt,4,1,1,2,Real Bed
308,House,Entire home/apt,4,1,2,2,Real Bed
309,Apartment,Shared room,2,1,1,1,Airbed
310,House,Private room,2,1,1,1,Real Bed
311,House,Entire home/apt,4,1,1,2,Real Bed
312,House,Private room,1,1,1,1,Real Bed
313,House,Entire home/apt,6,1,3,3,Real Bed
314,Apartment,Private room,2,1,1,2,Real Bed
315,Apartment,Private room,2,1.5,1,1,Real Bed
316,House,Shared room,1,1,1,1,Real Bed
317,Apartment,Entire home/apt,2,1,1,1,Real Bed
318,Apartment,Entire home/apt,4,1,1,1,Real Bed
319,Apartment,Entire home/apt,4,1,2,3,Real Bed
320,Boat,Entire home/apt,6,3,3,3,Real Bed
